"filename", "language", "TypeScript", "comment", "blank", "total"
"d:\Aplicatie alin\frontendAlin\services\adminApiService.ts", "TypeScript", 49, 0, 11, 60
"d:\Aplicatie alin\frontendAlin\services\appointmentApiService.ts", "TypeScript", 162, 1, 15, 178
"d:\Aplicatie alin\frontendAlin\services\barberApiService.ts", "TypeScript", 54, 0, 12, 66
"d:\Aplicatie alin\frontendAlin\services\userApiService.ts", "TypeScript", 65, 4, 16, 85
"Total", "-", 330, 5, 54, 389
