"filename", "language", "TypeScript", "comment", "blank", "total"
"d:\Aplicatie alin\frontendAlin\services\adminApiService.ts", "TypeScript", 60, 0, 14, 74
"d:\Aplicatie alin\frontendAlin\services\appointmentApiService.ts", "TypeScript", 163, 1, 15, 179
"d:\Aplicatie alin\frontendAlin\services\barberApiService.ts", "TypeScript", 76, 0, 14, 90
"d:\Aplicatie alin\frontendAlin\services\userApiService.ts", "TypeScript", 65, 4, 16, 85
"Total", "-", 364, 5, 59, 428
