"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"d:\Aplicatie alin\frontendAlin\app\(app)\(tabs)\appointments.tsx", "TypeScript JSX", 50, 0, 4, 54
"d:\Aplicatie alin\frontendAlin\app\(app)\(tabs)\settings.tsx", "TypeScript JSX", 96, 2, 7, 105
"d:\Aplicatie alin\frontendAlin\app\(app)\_layout.tsx", "TypeScript JSX", 49, 0, 2, 51
"d:\Aplicatie alin\frontendAlin\app\(app)\index.tsx", "TypeScript JSX", 55, 0, 3, 58
"d:\Aplicatie alin\frontendAlin\app\(auth)\login.tsx", "TypeScript JSX", 30, 0, 3, 33
"d:\Aplicatie alin\frontendAlin\app\(auth)\register.tsx", "TypeScript JSX", 30, 0, 3, 33
"d:\Aplicatie alin\frontendAlin\app\(auth)\reset.tsx", "TypeScript JSX", 30, 0, 3, 33
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\getfastestapp\[data].tsx", "TypeScript JSX", 155, 2, 10, 167
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\serviceselect\[id].tsx", "TypeScript JSX", 138, 0, 7, 145
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\timeselect\[data].tsx", "TypeScript JSX", 240, 1, 9, 250
"d:\Aplicatie alin\frontendAlin\app\(booking)\_layout.tsx", "TypeScript JSX", 33, 0, 6, 39
"d:\Aplicatie alin\frontendAlin\app\(booking)\index.tsx", "TypeScript JSX", 57, 1, 5, 63
"d:\Aplicatie alin\frontendAlin\app\(profile)\[id].tsx", "TypeScript JSX", 100, 0, 5, 105
"d:\Aplicatie alin\frontendAlin\app\_layout.tsx", "TypeScript JSX", 31, 87, 7, 125
"Total", "-", 1094, 93, 74, 1261
