"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\Aplicatie alin\frontendAlin\app\(app)\(tabs)\appointments.tsx", "TypeScript JSX", 50, 0, 0, 4, 54
"d:\Aplicatie alin\frontendAlin\app\(app)\(tabs)\settings.tsx", "TypeScript JSX", 96, 0, 2, 7, 105
"d:\Aplicatie alin\frontendAlin\app\(app)\_layout.tsx", "TypeScript JSX", 49, 0, 0, 2, 51
"d:\Aplicatie alin\frontendAlin\app\(app)\index.tsx", "TypeScript JSX", 55, 0, 0, 3, 58
"d:\Aplicatie alin\frontendAlin\app\(auth)\login.tsx", "TypeScript JSX", 30, 0, 0, 3, 33
"d:\Aplicatie alin\frontendAlin\app\(auth)\register.tsx", "TypeScript JSX", 30, 0, 0, 3, 33
"d:\Aplicatie alin\frontendAlin\app\(auth)\reset.tsx", "TypeScript JSX", 30, 0, 0, 3, 33
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\getfastestapp\[data].tsx", "TypeScript JSX", 155, 0, 2, 10, 167
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\serviceselect\[id].tsx", "TypeScript JSX", 138, 0, 0, 7, 145
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\timeselect\[data].tsx", "TypeScript JSX", 240, 0, 1, 9, 250
"d:\Aplicatie alin\frontendAlin\app\(booking)\_layout.tsx", "TypeScript JSX", 33, 0, 0, 6, 39
"d:\Aplicatie alin\frontendAlin\app\(booking)\index.tsx", "TypeScript JSX", 57, 0, 1, 5, 63
"d:\Aplicatie alin\frontendAlin\app\(profile)\[id].tsx", "TypeScript JSX", 100, 0, 0, 5, 105
"d:\Aplicatie alin\frontendAlin\app\_layout.tsx", "TypeScript JSX", 31, 0, 87, 7, 125
"d:\Aplicatie alin\frontendAlin\services\adminApiService.ts", "TypeScript", 0, -49, 0, -11, -60
"d:\Aplicatie alin\frontendAlin\services\appointmentApiService.ts", "TypeScript", 0, -162, -1, -15, -178
"d:\Aplicatie alin\frontendAlin\services\barberApiService.ts", "TypeScript", 0, -54, 0, -12, -66
"d:\Aplicatie alin\frontendAlin\services\userApiService.ts", "TypeScript", 0, -65, -4, -16, -85
"Total", "-", 1094, -330, 88, 20, 872
