"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\Aplicatie alin\frontendAlin\constants\Colors.ts", "TypeScript", 0, 12, 0, 2, 14
"d:\Aplicatie alin\frontendAlin\constants\firebaseConfig.ts", "TypeScript", 0, 15, 5, 3, 23
"d:\Aplicatie alin\frontendAlin\constants\toasts.tsx", "TypeScript JSX", 13, 0, 0, 2, 15
"Total", "-", 13, 27, 5, 7, 52
