"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\services\appointmentApiService.ts", "TypeScript", 145, 1, 14, 160
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\services\userApiService.ts", "TypeScript", 65, 4, 16, 85
"Total", "-", 210, 5, 30, 245
